id_bruvoll_2023;id_source;house_size;site_name;region;arch_culture;data_source;site_name_ill;neighbourhood_logic;mean_orien;site_name_ill_short;Settlement
66;66;50,92269748;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;29,09444626;Čierne;Cierne
67;67;168,2536742;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;18,29944964;Čierne;Cierne
68;68;137,9317248;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;22,56289029;Čierne;Cierne
69;69;113,9878388;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;23,2838611;Čierne;Cierne
70;70;106,0897655;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;16,3196656;Čierne;Cierne
71;71;137,9440255;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;18,47414019;Čierne;Cierne
72;72;89,17256043;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;20,23789656;Čierne;Cierne
73;73;151,2131887;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;31,97246318;Čierne;Cierne
74;74;110,9819666;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;27,00660763;Čierne;Cierne
75;75;172,2231542;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;26,23991954;Čierne;Cierne
76;76;221,7345897;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;29,39788525;Čierne;Cierne
77;77;91,50548724;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;25,00959206;Čierne;Cierne
78;78;109,1974687;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;15,88975362;Čierne;Cierne
79;79;74,99651337;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;25,51528833;Čierne;Cierne
80;80;76,60251568;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;19,28766852;Čierne;Cierne
81;81;95,19521437;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;15,10966866;Čierne;Cierne
535;543;131,4727345;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;33,57773205;Čierne;Cierne
536;544;103,9116906;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;25,34127087;Čierne;Cierne
537;545;91,15163097;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;24,2523659;Čierne;Cierne
538;546;99,25193709;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;21,74729883;Čierne;Cierne
539;547;153,2635812;cierne_klacany_mlynske_diely;zitava_valley;lbk;muller_scheessel_et_al_2020;Čierne Kľačany 'Mlynské diely';FALSE;17,64881755;Čierne;Cierne
122;122;43,67136296;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;17,28064484;Čifare;Cifare
123;123;117,5602532;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;22,92016917;Čifare;Cifare
124;124;128,3903312;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;23,20524193;Čifare;Cifare
125;125;87,26994662;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;16,99170748;Čifare;Cifare
126;126;87,7490657;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;13,60107924;Čifare;Cifare
127;127;78,62420312;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;14,43388356;Čifare;Cifare
128;128;74,71091315;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;17,87564613;Čifare;Cifare
129;129;85,32012999;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;26,07410726;Čifare;Cifare
130;130;50,76435987;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;18,80465962;Čifare;Cifare
131;131;155,9954968;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;15,65879993;Čifare;Cifare
132;132;116,3487651;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;18,34467815;Čifare;Cifare
133;133;97,50492533;cifare_kapustniska;zitava_valley;lbk;muller_scheessel_et_al_2020;Čifare 'Kapustniská';FALSE;11,17867629;Čifare;Cifare
